Name,Size,Type,CR,AC,HP,Speeds,Align.,STR,DEX,CON,INT,WIS,CHA,Sav. Throws,Skills,WRI,Senses,Languages,Additional,Font,Author
"Misc. Creature, Boar",Medium,Beast,0.25,11,11,40,U,13,11,12,2,9,5,None,None,None,Normal,None,"Charge, Relentless",Monster Manual,Wizards of the Coast
"Misc. Creature, Constrictor Snake",large,Beast,0.25,12,13,"30, swim 30",U,15,14,12,1,10,3,None,None,None,Blindsight 10,None,None,Monster Manual,Wizards of the Coast
"Misc. Creature, Draft Horse",Large,Beast,0.25,10,19,40,U,18,10,12,2,11,7,None,None,None,Normal,None,None,Monster Manual,Wizards of the Coast
"Misc. Creature, Elk",Large,Beast,0.25,10,13,50,U,16,10,12,2,10,6,None,None,None,Normal,None,Charge,Monster Manual,Wizards of the Coast
"Misc. Creature, Giant Badger",Medium,Beast,0.25,10,13,"30, burrow 10",U,13,10,15,2,12,5,None,None,None,Darkvision 30,None,Keen Smell,Monster Manual,Wizards of the Coast
"Misc. Creature, Giant Bat",Large,Beast,0.25,13,22,"10, fly 60",U,15,16,11,2,12,6,None,None,None,Blindsight 60,None,"Echolocation, Keen Hearing",Monster Manual,Wizards of the Coast
"Misc. Creature, Giant Centipede",small,Beast,0.25,13,4,30,U,5,14,12,1,7,3,None,None,None,Blindsight 30,None,None,Monster Manual,Wizards of the Coast
"Misc. Creature, Giant Frog",Medium,Beast,0.25,11,18,"30, swim 30",U,12,13,11,2,10,3,None,"Perception, Stealth",None,Darkvision 30,None,"Amphibious, Standing Leap",Monster Manual,Wizards of the Coast
"Misc. Creature, Giant Lizard",Large,Beast,0.25,12,19,"30, climb 30",U,15,12,13,2,10,5,None,None,None,Darkvision 30,None,None,Monster Manual,Wizards of the Coast
"Misc. Creature, Giant Owl",Large,Beast,0.25,12,19,"5, fly 60",N,13,15,12,8,13,10,None,"Perception, Stealth",None,Darkvision 120,"Own, Common, Elvish, Sylvan","FLyby, Keen Hearing, Keen Sight",Monster Manual,Wizards of the Coast
"Misc. Creature, Giant Poisonous Snake",Medium,Beast,0.25,14,11,"30, swim 30",U,10,18,13,2,10,3,None,Perception,None,Blindsight 10,None,None,Monster Manual,Wizards of the Coast
"Misc. Creature, Giant Wolf Spider",Medium,Beast,0.25,13,11,"40, climb 40",U,12,16,13,3,12,4,None,"Perception, Stealth",None,"Blindsight 10, darkvision 60",None,"Spider Climb, Web Sense, Web Walker",Monster Manual,Wizards of the Coast
"Misc. Creature, Panther",Medium,Beast,0.25,12,13,"50, climb 40",U,14,15,10,3,14,7,None,"Perception, Stealth",None,Normal,None,"Keen Smell, Pounce",Monster Manual,Wizards of the Coast
"Misc. Creature, Riding Horse",Large,Beast,0.25,10,13,60,U,16,10,12,2,11,7,None,None,None,Normal,None,None,Monster Manual,Wizards of the Coast
"Misc. Creature, Swarm of Bats",Medium,Beast,0.25,12,22,fly 30,U,5,15,10,2,12,4,None,None,"Bludgeoningres, piercingres, slashingres, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, stunnedimmu",Blindsight 60,None,"Echolocation, Keen Hearing Swarm",Monster Manual,Wizards of the Coast
"Misc. Creature, Swarm of Rats",Medium,Beast,0.25,10,24,30,U,9,11,9,2,10,3,None,None,"Bludgeoningres, piercingres, slashingres, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, stunnedimmu",Normal,None,"Keen Smell, Swarm",Monster Manual,Wizards of the Coast
"Misc. Creature, Swarm of Ravens",Medium,Beast,0.25,12,24,"10, fly 50",U,6,14,8,3,12,6,None,Perception,"Bludgeoningres, piercingres, slashingres, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, stunnedimmu",Normal,None,Swarm,Monster Manual,Wizards of the Coast
"Misc. Creature, Wolf",Medium,Beast,0.25,13,11,40,U,12,15,12,3,12,6,None,"Perception, Stealth",None,Normal,None,"Keen Hearing, Keen Smell, Pack Tactics",Monster Manual,Wizards of the Coast
"Modron, Duodrone",Medium,Construct,0.25,15,11,30,LN,11,13,12,6,10,7,None,None,None,Truesight 120,Modron,"Axiomatic Mind, Disintegration",Monster Manual,Wizards of the Coast
Mongrelfolk,Medium,Humanoid (Mongrelfolk),0.25,11,26,20,ANY,12,9,15,9,10,6,None,"Deception, Perception, Stealth",None,Normal,Common,Mimicry,Curse of Strahd,Wizards of the Coast
"NPC, Acolyte",Medium,Humanoid,0.25,10,9,30,ANY,10,10,10,10,14,11,None,"Medicine, Religion",None,Normal,Any,Normal Spellcasting,Monster Manual,Wizards of the Coast
"NPC, Apprentice Wizard",Medium,Humanoid (Any Race),0.25,10,9,30,ANY,10,10,10,14,10,11,None,"Arcana, History",None,Normal,Any,Normal Spellcasting,Volo's Guide to Monsters,Wizards of the Coast
Oblex Spawn,Tiny,Ooze,0.25,13,18,20,LE,8,16,15,14,11,10,"INT, CHA",None,"Blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, proneimmu",Blindsight 60,None,"Amorphous, Aversion to Fire",Mordenkainen's Tome of Foes,Wizards of the Coast
Pixie,Tiny,Fey,0.25,15,1,"10, fly 30",NG,2,20,8,10,14,15,None,"Perception, Stealth",None,Normal,Sylvan,"Magic Resistance, Innate Spellcasting (Psionics)",Monster Manual,Wizards of the Coast
Pseudodragon,Tiny,Dragon,0.25,13,7,"15, fly 60",NG,6,15,13,10,12,10,None,"Perception, Stealth",None,"Blindsight 10, darkvision 60","Common, Draconic","Keen Senses, Magic Resistance, Limited Telepathy",Monster Manual,Wizards of the Coast
Skeleton,Medium,Undead,0.25,13,13,30,LE,10,14,15,6,8,5,None,None,"Bludgeoningweak, poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Any,None,Monster Manual,Wizards of the Coast
"Sorrowsworn, The Wretched",Small,Monstrosity,0.25,15,10,40,NE,7,12,9,5,6,5,None,None,Darknessres,Darkvision 60,None,Wretched Pack Tactics,Mordenkainen's Tome of Foes,Wizards of the Coast
Sprite,Tiny,Fey,0.25,15,2,"10, fly 40",NG,3,18,10,14,13,11,None,"Perception, Stealth",None,Normal,"Common, Elvish, Sylvan",None,Monster Manual,Wizards of the Coast
Star Spawn Grue,Small,Aberration,0.25,11,17,30,NE,6,13,10,9,11,6,None,None,Psychicimmu,Darkvision 60,Deep Speech,Aura of Madness,Mordenkainen's Tome of Foes,Wizards of the Coast
"Steeder, Male",Medium,Monstrosity,0.25,12,13,"30, climb 30",U,15,12,14,2,10,3,None,"Stealth, Perception",None,Darkvision 120,None,"Spider Climb, Extraordinary Leap",Mordenkainen's Tome of Foes,Wizards of the Coast
Tabaxi Minstrel,Medium,Humanoid (Tabaxi),0.25,12,22,"30, climb 20",CG,10,15,11,14,12,16,None,"Perception, Performance, Persuasion, Stealth",None,Darkvision 60,"COmmon, Any","Feline Agility, Inspire",Tomb of Annihilation,Wizards of the Coast
Tortle,Medium,Humanoid (Tortle),0.25,17,22,30,LG,15,10,12,11,13,12,None,"Athletics, Survival",None,Normal,"Aquan, Common",Hold Breath,Mordenkainen's Tome of Foes,Wizards of the Coast
